學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
一貫道崇德學院,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0
世新大學,449,374,54,12,8,0,0,0,1,35169,819,56,21,18,102,251,8,27,29,47,87,10,9,8,0,146,593,109,1,129,57,279,0,0,3,9,0,3,3
中信學校財團法人中信金融管理學院,2,2,0,0,0,0,0,0,0,1455,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,9,0,15,3,3,0,0,1,1,1,1,0
中原大學,667,590,35,10,13,0,15,0,4,49026,1327,39,224,24,283,23,5,45,14,2,245,0,1,0,0,422,789,230,0,207,13,305,0,0,0,1,6,27,0
中國文化大學,1589,1022,379,47,32,0,109,0,0,77655,2299,65,89,265,267,511,18,27,76,188,95,15,51,50,0,582,2075,417,1,674,225,666,0,0,0,31,16,12,33
中國科技大學,288,244,44,0,0,0,0,0,0,32907,722,23,38,16,151,237,5,8,93,41,2,39,1,0,0,68,908,61,0,312,76,436,0,0,0,14,3,4,2
中國醫藥大學,111,75,9,26,1,0,0,0,0,22404,503,20,11,7,83,66,5,22,8,29,4,1,39,5,0,203,329,2,0,116,5,155,0,0,0,9,0,6,36
中山醫學大學,137,132,4,1,0,0,0,0,0,21711,402,19,5,71,142,49,2,6,4,19,21,4,4,1,0,55,392,13,0,160,32,177,0,0,2,3,0,2,3
中州學校財團法人中州科技大學,59,59,0,0,0,0,0,0,0,10419,151,9,11,2,23,40,5,0,36,1,0,0,24,0,0,0,588,10,1,209,199,139,0,0,2,13,0,0,15
中臺科技大學,309,240,69,0,0,0,0,0,0,27021,1065,38,49,53,189,226,2,60,60,12,15,10,8,5,0,338,687,44,0,177,0,419,1,0,2,18,3,2,21
中華大學學校財團法人中華大學,401,317,83,0,1,0,0,0,0,20166,508,35,25,26,85,181,4,5,79,12,6,3,3,5,0,39,594,27,0,190,117,125,0,0,2,40,9,11,73
中華學校財團法人中華科技大學,328,211,117,0,0,0,0,0,0,19614,1140,38,216,16,34,391,14,0,255,13,0,4,12,0,0,147,481,92,0,135,1,229,0,0,1,10,4,1,8
中華醫事科技大學,216,215,0,1,0,0,0,0,0,27720,737,27,51,14,26,74,3,5,18,0,0,0,0,0,0,519,745,24,18,64,55,289,1,0,0,6,2,0,286
亞太學校財團法人亞太創意技術學院,38,38,0,0,0,0,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2,0,29,21,34,0,0,0,2,2,0,1
亞東技術學院,148,125,23,0,0,0,0,0,0,13452,263,8,36,15,78,48,6,4,30,26,0,0,2,0,0,10,221,23,0,74,5,101,0,0,3,12,1,1,1
亞洲大學,395,346,43,3,1,0,1,0,1,36369,662,76,18,62,162,111,8,5,18,13,22,4,45,0,0,118,1101,117,0,321,323,297,0,0,1,15,5,5,17
仁德醫護管理專科學校,339,339,0,0,0,0,0,0,0,19803,106,10,16,14,45,13,0,0,3,2,0,1,1,1,0,0,437,43,1,173,97,81,0,1,6,20,2,2,11
佛光大學,148,138,5,0,0,0,5,0,0,11466,383,19,11,2,32,137,4,10,43,4,36,5,1,7,0,72,361,37,0,117,173,0,0,0,6,9,1,3,15
修平學校財團法人修平科技大學,214,177,37,0,0,0,0,0,0,15633,258,12,17,16,54,86,2,1,15,9,0,0,23,0,0,23,573,54,43,178,73,183,0,0,0,0,1,31,10
健行學校財團法人健行科技大學,364,277,87,0,0,0,0,0,0,32295,755,37,49,15,118,292,8,11,126,2,0,4,32,0,0,61,969,108,4,157,207,439,0,0,1,26,4,1,22
僑光科技大學,137,126,11,0,0,0,0,0,0,32568,249,12,14,5,40,82,3,1,58,12,1,1,0,5,0,15,977,84,0,331,278,186,1,1,6,41,14,26,9
元智大學,327,243,81,3,0,0,0,0,0,27405,402,18,1,81,18,169,1,6,13,18,13,0,0,2,0,62,459,123,0,69,65,158,0,0,0,5,1,13,25
光宇學校財團法人元培醫事科技大學,268,261,6,1,0,0,0,0,0,19311,241,14,29,19,24,82,1,1,42,3,0,13,6,0,0,7,651,84,0,145,307,62,2,0,3,23,4,0,21
南亞科技學校財團法人南亞技術學院,188,159,29,0,0,0,0,0,0,10626,578,22,45,0,45,241,10,3,135,3,0,0,1,0,0,73,514,83,2,93,83,224,0,0,0,18,1,0,10
南榮學校財團法人南榮科技大學,67,67,0,0,0,0,0,0,0,6633,93,4,17,11,10,32,1,0,18,0,0,0,0,0,0,0,322,42,2,97,78,77,0,1,0,11,10,4,0
南臺學校財團法人南臺科技大學,523,416,103,1,1,0,0,0,2,56565,1228,65,197,11,108,508,4,11,184,37,15,15,3,22,0,48,1251,163,0,307,322,360,1,0,6,53,31,1,7
南華大學,187,172,9,3,0,0,3,0,0,16800,639,59,62,17,183,123,11,6,32,14,28,0,17,17,0,70,527,83,1,168,60,180,1,0,5,25,0,0,4
南開科技大學,194,169,25,0,0,0,0,0,0,15651,920,81,62,34,145,347,8,5,184,1,2,3,1,5,0,42,578,58,4,202,91,204,0,0,0,10,1,1,7
台北海洋學校財團法人台北海洋科技大學,263,240,23,0,0,0,0,0,0,15990,510,18,57,0,124,125,0,10,93,0,0,0,0,0,0,83,712,12,0,217,154,251,1,1,4,25,24,0,23
台南家專學校財團法人台南應用科技大學,205,195,0,0,0,0,0,0,10,38199,1495,85,153,126,283,352,13,8,29,13,0,1,0,0,0,432,823,52,0,317,92,307,0,0,5,16,1,2,31
台灣首府學校財團法人台灣首府大學,103,103,0,0,0,0,0,0,0,8190,142,7,14,12,7,57,0,1,40,0,0,0,3,1,0,0,415,5,1,47,163,122,0,0,2,20,19,22,14
台神學校財團法人台灣神學研究學院,0,0,0,0,0,0,0,0,0,162,4,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吳鳳科技大學,127,115,12,0,0,0,0,0,0,14127,574,10,28,52,83,144,7,6,64,3,0,14,1,1,0,161,397,14,0,43,22,303,0,0,1,7,1,4,2
和春技術學院,98,98,0,0,0,0,0,0,0,7425,416,21,20,12,2,161,0,5,19,4,0,0,0,0,0,172,691,10,21,24,257,104,0,0,2,54,2,0,217
嘉藥學校財團法人嘉南藥理大學,313,264,44,2,3,0,0,0,0,47106,1700,38,54,1,22,101,3,0,63,8,0,0,0,0,0,1410,1012,7,0,279,8,325,0,0,6,24,20,2,341
國立中央大學,231,136,26,23,8,0,24,0,14,35772,939,36,44,58,97,323,15,82,41,25,161,0,24,9,0,24,541,92,0,100,62,258,0,0,3,13,4,9,0
國立中山大學,247,119,78,8,5,0,28,0,9,28398,964,29,20,9,21,258,12,49,21,32,157,6,0,6,0,344,533,45,0,23,56,194,1,2,3,53,0,82,74
國立中正大學,264,113,97,39,7,0,3,0,5,34536,1070,44,34,45,151,247,13,66,16,1,236,6,79,5,0,127,564,114,0,93,58,235,0,1,2,27,3,0,31
國立中興大學,324,280,14,19,9,0,0,0,2,44631,1393,84,54,24,197,442,9,131,44,63,212,0,87,30,0,16,815,103,0,235,130,218,0,0,11,80,6,8,24
國立勤益科技大學,221,190,31,0,0,0,0,0,0,33528,742,29,49,54,159,205,1,5,82,6,0,0,16,7,0,129,603,125,12,148,4,267,0,1,3,32,1,2,8
國立嘉義大學,236,191,36,3,2,0,4,0,0,37197,1161,89,47,87,132,342,15,50,78,29,58,0,0,0,0,234,716,68,0,224,71,199,0,0,0,55,5,0,94
國立宜蘭大學,138,115,20,2,1,0,0,0,0,16533,340,20,18,51,67,94,1,4,42,4,6,3,1,2,0,27,299,59,0,90,31,93,0,1,1,11,3,9,1
國立屏東大學,213,175,26,1,2,0,0,0,9,26889,592,28,30,41,65,265,9,38,15,1,26,4,9,7,0,54,448,41,1,112,91,166,0,0,0,10,1,20,6
