學校名稱,在學學生數-總計,在學學生數-男,在學學生數-女,延修人數-總計,延修人數-因畢業學分未修滿因素,延修人數-因未通過畢業門檻(條件)因素,延修人數-因修讀雙主修因素,延修人數-因修讀輔系因素,延修人數-因修讀跨校學位因素,延修人數-因出國學習因素,延修人數-因修讀教育學程(學分學程)因素,延修人數-其他因素,休學人數-總計,休學人數-因傷病,休學人數-因經濟困難,休學人數-因學業成績不佳,休學人數-因志趣不合,休學人數-因工作需求,休學人數-因懷孕,休學人數-因育嬰,休學人數-因兵役,休學人數-因出國,休學人數-因論文撰寫,休學人數-因適應不良,休學人數-因家人傷病,休學人數-因考試訓練,休學人數-因逾期未註冊、繳費、選課,休學人數-其他,退學人數-總計,退學人數-因成績不佳或曠課時數過多,退學人數-因操行成績,退學人數-因志趣不合,退學人數-因逾期未註冊,退學人數-因休學逾期未復學,退學人數-因懷孕,退學人數-因育嬰,退學人數-因傷病,退學人數-因工作需求,退學人數-因經濟困難,退學人數-因生涯規劃,退學人數-其他(不含死亡),總分,排名
一貫道崇德學院,58,25,33,0,0,0,0,0,0,0,0,0,25,2,1,0,0,12,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
世新大學,11387,4282,7105,341,297,24,11,5,0,1,3,0,857,56,21,21,164,318,2,17,14,63,75,9,7,16,3,71,651,123,0,164,53,280,0,0,1,10,3,17,0,,
中信學校財團法人中信金融管理學院,718,391,327,10,10,0,0,0,0,0,0,0,22,2,0,0,2,13,0,0,0,1,0,0,3,0,1,0,50,5,0,28,9,4,0,0,0,0,0,2,2,,
中原大學,16217,8844,7373,850,690,122,6,7,0,25,0,0,776,54,30,43,110,193,4,71,28,67,87,20,27,24,1,17,755,36,1,152,70,458,0,2,1,18,5,12,0,19.0–25.9,801–1000
中國文化大學,25186,12235,12951,1909,1126,540,59,34,0,28,122,0,2218,97,86,82,253,602,9,19,44,128,131,33,55,54,370,255,1960,126,0,771,234,627,0,1,9,52,24,18,98,,
中國科技大學,10229,4860,5369,353,266,85,0,0,0,2,0,0,596,21,51,18,135,194,1,9,35,36,9,25,5,3,0,54,927,134,0,233,225,317,0,0,1,11,1,0,5,,
中國醫藥大學,7212,3176,4036,119,87,0,29,0,0,0,3,0,540,19,9,0,87,59,7,24,3,32,32,3,36,11,17,201,318,10,0,91,4,144,0,0,0,7,1,37,24,33.5–37.0,501–600
中山醫學大學,6913,2516,4397,145,136,7,1,0,0,1,0,0,472,7,18,4,213,80,4,9,3,30,56,18,6,6,0,18,407,6,0,151,21,223,0,1,0,3,0,1,1,,
中州學校財團法人中州科技大學,3173,1660,1513,59,59,0,0,0,0,0,0,0,117,4,11,2,10,52,1,1,15,2,0,1,16,1,1,0,440,4,0,40,187,65,0,0,0,28,6,3,107,,
中臺科技大學,8402,2919,5483,282,221,57,4,0,0,0,0,0,950,45,57,40,138,172,16,56,30,6,30,25,25,9,284,17,710,61,0,173,7,404,1,0,3,25,6,19,11,,
中華大學學校財團法人中華大學,5471,3520,1951,384,367,17,0,0,0,0,0,0,516,24,31,33,96,171,5,8,40,18,38,12,17,7,5,11,604,34,0,208,106,157,0,0,6,37,12,10,34,,
中華學校財團法人中華科技大學,5352,3702,1650,316,168,148,0,0,0,0,0,0,1059,38,71,3,26,321,1,6,140,13,2,3,105,0,321,9,484,94,0,117,0,257,0,0,0,10,1,3,2,,
中華醫事科技大學,8990,2932,6058,200,200,0,0,0,0,0,0,0,756,16,39,65,5,59,7,1,7,1,1,2,1,1,477,74,766,76,24,285,10,291,0,0,4,4,19,2,51,,
亞東技術學院,4497,3036,1461,140,109,31,0,0,0,0,0,0,240,10,35,32,31,65,2,1,26,9,0,22,3,2,0,2,249,40,0,95,9,80,0,0,1,21,3,0,0,,
亞洲大學,11689,4428,7261,318,241,65,4,2,0,6,0,0,548,47,14,18,121,124,3,4,11,23,69,13,60,8,2,31,845,116,0,305,190,185,0,0,1,27,4,12,5,19.0–25.9,801–1000
仁德醫護管理專科學校,6433,1492,4941,269,269,0,0,0,0,0,0,0,126,12,12,16,54,18,3,1,3,1,0,4,2,0,0,0,393,21,2,140,87,85,2,0,9,19,11,16,1,,
佛光大學,3550,1621,1929,136,122,0,0,0,0,14,0,0,356,43,17,10,37,139,6,9,11,7,35,6,6,4,0,26,376,49,0,110,188,0,0,1,5,11,6,5,1,,
修平學校財團法人修平科技大學,5070,3745,1325,198,183,15,0,0,0,0,0,0,256,12,18,18,52,101,3,4,1,4,0,0,28,0,4,11,480,60,20,142,75,146,0,0,2,0,3,22,10,,
健行學校財團法人健行科技大學,11269,7401,3868,341,282,59,0,0,0,0,0,0,600,37,40,10,106,236,17,10,88,0,0,2,10,1,4,39,1292,187,24,121,359,434,0,0,3,47,7,0,110,,
僑光科技大學,11056,5192,5864,113,109,4,0,0,0,0,0,0,235,14,12,10,47,72,2,2,34,11,0,10,4,3,8,6,967,94,0,354,290,128,1,0,4,36,7,50,3,,
元智大學,8703,5093,3610,344,250,91,0,0,0,3,0,0,402,8,2,88,20,169,6,3,9,16,13,3,3,0,0,62,421,91,0,99,55,126,0,0,1,6,5,19,19,,
光宇學校財團法人元培醫事科技大學,6239,2780,3459,237,236,0,1,0,0,0,0,0,220,27,19,19,35,57,5,3,25,2,0,9,15,0,3,1,594,99,1,130,191,125,0,1,3,25,13,2,4,,
南亞科技學校財團法人南亞技術學院,3728,2162,1566,112,101,11,0,0,0,0,0,0,444,21,46,5,45,159,10,1,71,3,0,20,16,0,47,0,486,50,0,64,80,266,0,0,0,15,8,3,0,,
南臺學校財團法人南臺科技大學,18563,10769,7794,551,428,119,0,0,0,0,4,0,1865,101,264,25,182,805,15,11,208,54,21,20,13,48,0,98,898,47,0,318,272,166,0,0,2,48,13,25,7,,
