學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
一貫道崇德學院,74,32,2,0,0,0,8,0,0,0,2,20,0,0,0,0,0
世新大學,11434,730,69,31,17,123,206,4,21,11,36,123,13,10,12,3,51
中信學校財團法人中信金融管理學院,919,23,0,0,0,5,16,0,0,1,0,0,0,1,0,0,0
中原大學,16529,915,45,57,81,107,279,4,70,27,54,88,54,24,21,4,0
中國文化大學,24503,2445,123,106,87,254,456,6,21,34,84,176,36,42,44,717,259
中國科技大學,8612,571,31,35,8,76,256,3,7,35,18,14,33,15,2,1,37
中國醫藥大學,7243,465,16,15,0,61,45,6,21,1,21,32,9,30,12,18,178
中山醫學大學,7052,443,23,10,7,165,79,2,12,1,26,67,22,13,7,0,9
中州學校財團法人中州科技大學,1931,45,3,3,5,5,19,0,0,1,0,1,0,8,0,0,0
中臺科技大學,7604,956,42,50,35,145,150,6,57,22,2,20,23,33,12,353,6
中華大學學校財團法人中華大學,5045,372,27,21,29,72,124,0,4,20,9,26,18,7,4,11,0
中華學校財團法人中華科技大學,4365,654,19,28,3,23,154,2,0,76,3,1,0,3,0,305,37
中華福音神學研究學院,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中華醫事科技大學,8511,789,33,53,0,78,114,6,4,5,0,1,3,1,0,378,113
亞東學校財團法人亞東科技大學,4223,220,16,37,25,26,78,1,2,5,3,0,23,1,2,0,1
亞洲大學,11431,542,78,18,25,95,118,2,2,12,21,64,20,49,6,12,20
仁德醫護管理專科學校,6386,151,19,14,23,60,13,4,0,4,1,0,11,2,0,0,0
佛光大學,3242,279,26,6,12,39,75,3,2,3,8,51,18,26,2,0,8
修平學校財團法人修平科技大學,5024,239,13,11,9,48,76,0,2,3,2,3,6,17,2,47,0
健行學校財團法人健行科技大學,11167,692,37,71,37,98,296,10,8,71,2,1,5,43,3,4,6
僑光科技大學,9841,276,25,22,5,43,111,8,3,27,4,0,11,4,8,4,1
元智大學,8799,427,20,4,24,59,120,1,2,0,10,44,0,10,0,0,133
光宇學校財團法人元培醫事科技大學,5751,238,32,6,41,24,87,3,0,17,1,0,13,13,0,0,1
南亞科技學校財團法人南亞技術學院,2762,346,18,41,0,32,149,13,11,27,0,4,4,17,1,29,0
南臺學校財團法人南臺科技大學,17222,1951,142,224,29,253,796,22,14,156,25,31,18,24,61,0,156
南華大學,5472,608,38,48,35,88,166,7,27,15,9,107,16,28,10,0,14
南開科技大學,3235,146,8,10,3,9,70,1,0,17,1,6,6,3,2,1,9
台北海洋學校財團法人台北海洋科技大學,4124,407,18,68,0,82,132,3,1,26,1,0,0,0,0,65,11
台南家專學校財團法人台南應用科技大學,11716,908,87,76,43,178,316,9,4,13,19,1,43,87,0,0,32
台灣基督長老教會南神神學院,73,29,0,0,0,3,6,1,0,1,0,13,1,2,0,0,2
台灣首府學校財團法人台灣首府大學,811,35,0,1,3,4,21,1,0,1,0,0,0,3,0,0,1
台神學校財團法人台灣神學研究學院,116,12,2,0,0,0,4,0,2,0,0,3,0,0,0,0,1
吳鳳科技大學,4915,443,10,17,23,68,150,3,1,15,0,0,7,16,2,131,0
和春技術學院,301,17,1,0,0,0,12,0,1,1,0,0,0,0,0,1,1
唯心聖教學院,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉藥學校財團法人嘉南藥理大學,11458,981,52,72,10,63,172,7,2,43,3,9,14,11,3,215,305
國立中央大學,12128,922,51,29,20,81,229,5,82,5,23,181,13,31,22,0,150
國立中山大學,9897,859,44,13,9,47,251,11,55,9,25,138,11,4,16,4,222
國立中正大學,11212,985,48,30,35,119,240,10,63,0,24,235,9,70,40,3,59
國立中興大學,15154,1251,88,34,18,116,262,5,113,3,42,189,20,84,39,0,238
國立勤益科技大學,12442,731,23,21,61,200,173,3,9,45,4,4,13,12,11,150,2
國立嘉義大學,11805,1039,70,40,51,212,411,15,43,22,22,77,17,57,0,1,1
國立宜蘭大學,5637,309,24,9,23,33,106,1,6,21,13,22,20,11,11,0,9
國立屏東大學,9137,497,11,16,18,61,180,4,35,3,8,84,24,20,14,4,15
國立屏東科技大學,10687,607,48,18,38,56,161,2,16,7,2,28,127,67,24,8,5
國立彰化師範大學,8459,905,38,23,9,63,254,18,76,10,13,171,10,37,46,40,97
國立成功大學,22406,1708,96,29,61,214,304,13,123,17,0,149,29,127,34,23,489
國立政治大學,16110,2198,92,14,3,24,453,18,184,25,64,180,0,0,0,555,586
國立暨南國際大學,6242,444,39,11,11,30,180,3,24,2,13,49,33,43,6,0,0
國立東華大學,10251,1128,89,33,50,44,265,11,70,9,18,186,24,134,27,11,157
國立清華大學,17488,1373,125,20,117,167,302,19,107,33,77,281,37,40,15,0,33
