學年度,學校名稱,學制班別(日間),申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
106,國立政治大學,學士班(日間),7,1,1,3,2,0,0,...,0
106,國立政治大學,學士班(日間),10,1,0,3,4,0,2,...,0
106,國立政治大學,學士班(日間),9,2,1,4,2,0,0,...,0
106,國立政治大學,學士班(日間),6,0,1,1,4,0,0,...,0
106,國立政治大學,學士班(日間),5,2,1,1,1,0,0,...,0
106,國立政治大學,學士班(日間),16,3,2,6,5,0,0,...,0
106,國立政治大學,學士班(日間),11,6,1,1,3,0,0,...,0
106,國立政治大學,學士班(日間),5,0,1,2,1,0,1,...,0
106,國立政治大學,學士班(日間),12,6,0,2,1,0,3,...,0
106,國立政治大學,學士班(日間),30,10,2,10,2,0,6,...,0
106,國立政治大學,學士班(日間),7,3,1,0,0,0,3,...,0
106,國立政治大學,學士班(日間),21,6,0,3,0,0,12,...,0
106,國立政治大學,學士班(日間),4,0,1,1,2,0,0,...,0
106,國立政治大學,學士班(日間),6,1,1,2,0,0,2,...,0
106,國立政治大學,學士班(日間),4,2,0,1,0,0,1,...,0
106,國立政治大學,學士班(日間),13,2,0,1,1,0,9,...,0
106,國立政治大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立政治大學,學士班(日間),11,3,0,1,1,0,6,...,0
106,國立政治大學,學士班(日間),11,5,0,2,1,0,3,...,0
106,國立政治大學,學士班(日間),34,13,1,5,7,0,8,...,0
106,國立政治大學,學士班(日間),10,2,0,2,2,0,4,...,0
106,國立政治大學,學士班(日間),22,5,4,4,6,0,3,...,0
106,國立政治大學,學士班(日間),8,3,0,1,1,0,3,...,0
106,國立政治大學,學士班(日間),27,11,1,8,4,0,3,...,0
106,國立政治大學,學士班(日間),15,6,3,3,2,0,1,...,0
106,國立政治大學,學士班(日間),10,3,0,3,1,0,3,...,0
106,國立政治大學,學士班(日間),4,2,0,1,0,0,1,...,0
106,國立政治大學,學士班(日間),14,3,0,6,2,0,3,...,0
106,國立政治大學,學士班(日間),11,2,1,4,3,0,1,...,0
106,國立政治大學,學士班(日間),19,6,1,5,3,0,4,...,0
