學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
一貫道崇德學院,138,1,0,0,0,0,1,0,0,0,0,0,0,0
世新大學,22446,677,58,0,200,45,345,0,0,4,6,2,17,0
中信學校財團法人中信金融管理學院,1650,83,0,0,62,6,15,0,0,0,0,0,0,0
中原大學,32810,643,45,0,206,67,286,0,0,8,20,6,5,0
中國文化大學,49576,2043,165,1,836,270,592,0,1,5,38,26,18,91
中國科技大學,17630,1195,139,0,324,326,353,0,0,3,36,0,0,14
中國醫藥大學,14406,347,9,0,98,5,152,0,1,0,9,3,54,16
中山醫學大學,13666,413,14,0,153,17,223,0,0,2,3,0,1,0
中州學校財團法人中州科技大學,5336,349,19,0,17,165,66,0,0,1,31,2,23,25
中臺科技大學,16340,599,86,0,145,4,322,1,2,1,15,5,16,2
中華大學學校財團法人中華大學,9896,632,36,0,256,98,153,0,0,2,40,20,4,23
中華學校財團法人中華科技大學,9546,383,39,0,109,8,204,0,0,1,17,4,0,1
中華醫事科技大學,17448,725,83,8,226,7,299,0,2,3,11,25,9,52
亞東學校財團法人亞東科技大學,8776,219,30,0,81,6,86,0,0,0,14,2,0,0
亞洲大學,22842,808,78,2,335,135,196,0,0,1,18,4,22,17
仁德醫護管理專科學校,13030,453,32,9,164,84,78,0,0,7,17,16,46,0
佛光大學,6916,379,24,0,124,182,0,0,0,11,18,1,19,0
修平學校財團法人修平科技大學,8938,499,48,22,112,98,169,0,0,1,29,4,16,0
健行學校財團法人健行科技大學,22558,1032,204,11,129,243,386,0,0,2,20,4,0,33
僑光科技大學,21220,968,95,0,322,304,136,1,0,2,36,12,55,5
元智大學,17478,446,114,0,104,66,111,0,0,2,10,1,36,2
光宇學校財團法人元培醫事科技大學,12372,737,112,0,173,270,134,0,0,12,28,4,0,4
南亞科技學校財團法人南亞技術學院,6726,521,96,0,69,51,278,0,0,1,18,1,4,3
南臺學校財團法人南臺科技大學,36048,1077,54,0,328,263,322,1,0,5,58,18,27,1
南華大學,11402,694,69,1,290,60,208,0,2,9,27,7,18,3
南開科技大學,7510,385,35,1,134,73,123,0,0,2,12,1,3,1
台北海洋學校財團法人台北海洋科技大學,8384,570,6,0,228,141,88,0,0,8,44,24,6,25
台南家專學校財團法人台南應用科技大學,24726,1046,49,0,349,109,440,1,1,8,55,11,9,14
台灣基督長老教會南神神學院,150,5,0,0,0,0,0,0,1,0,1,3,0,0
台灣首府學校財團法人台灣首府大學,2260,140,6,0,14,50,51,0,0,0,15,0,4,0
台神學校財團法人台灣神學研究學院,222,3,0,0,0,0,2,0,0,0,0,0,1,0
吳鳳科技大學,10116,423,22,0,60,34,269,0,0,0,19,7,1,11
和春技術學院,1376,198,4,0,52,31,82,0,0,1,18,1,2,7
嘉藥學校財團法人嘉南藥理大學,24468,1028,6,0,246,145,523,0,0,13,19,23,2,51
國立中央大學,23876,520,45,0,86,73,287,0,0,1,14,2,9,3
國立中山大學,19412,593,62,0,35,66,211,0,4,4,61,3,100,47
國立中正大學,22256,640,90,0,168,63,278,0,1,6,15,3,3,13
國立中興大學,29948,890,106,0,237,135,287,0,0,12,47,6,43,17
國立勤益科技大學,24268,811,121,15,192,12,403,0,1,3,32,5,23,4
國立嘉義大學,23378,863,84,0,306,75,324,0,1,10,54,1,4,4
國立宜蘭大學,10952,339,53,0,108,57,87,1,0,4,9,1,19,0
國立屏東大學,18054,508,38,0,146,104,190,0,0,1,26,0,2,1
國立屏東科技大學,21636,633,84,0,183,87,224,0,1,8,20,3,23,0
國立彰化師範大學,16906,514,39,0,112,52,240,0,0,3,30,6,26,6
國立成功大學,43546,1064,117,0,110,130,642,0,0,4,10,8,43,0
國立政治大學,32702,575,59,0,110,3,377,0,0,5,13,1,3,4
國立暨南國際大學,12032,226,17,0,7,53,123,0,0,1,5,0,20,0
國立東華大學,20016,588,48,0,135,101,207,1,0,3,20,4,66,3
國立清華大學,33834,659,88,0,75,189,237,0,0,11,31,0,14,14
國立澎湖科技大學,6094,191,9,6,4,6,34,0,0,0,0,0,18,114
國立聯合大學,15118,538,109,0,196,61,152,0,0,2,10,2,5,1
國立臺中教育大學,9804,266,20,0,60,34,59,0,0,3,24,3,63,0
國立臺中科技大學,32182,993,87,0,178,302,323,0,0,7,55,2,39,0
國立臺北商業大學,15264,347,57,1,93,17,148,0,0,0,9,4,18,0
國立臺北大學,20160,493,94,0,127,48,136,1,2,3,49,1,19,13
國立臺北教育大學,11770,279,23,0,82,88,0,0,1,2,50,3,23,7
國立臺北科技大學,27674,598,113,0,59,123,240,0,0,12,26,2,22,1
國立臺北藝術大學,6288,171,17,0,7,19,73,0,1,1,21,0,31,1
國立臺北護理健康大學,10676,201,11,0,40,28,89,0,0,2,11,2,16,2
國立臺南大學,11546,377,39,0,129,17,36,0,1,6,84,7,58,0
國立臺南藝術大學,3198,150,10,0,28,12,44,0,1,1,18,2,20,14
國立臺南護理專科學校,3834,36,1,0,28,0,4,0,0,1,0,1,0,1
國立臺東大學,9878,342,23,0,152,10,102,0,0,4,27,4,16,4
國立臺東專科學校,2082,175,12,3,53,34,61,0,0,1,4,2,3,2
國立臺灣大學,65054,1300,168,1,123,408,436,0,0,2,23,1,6,132
國立臺灣師範大學,31840,812,95,0,127,524,0,0,0,12,38,1,6,9
國立臺灣戲曲學院,1092,41,0,1,12,3,22,0,0,0,2,0,0,1
國立臺灣海洋大學,17810,510,22,0,132,74,201,0,0,5,23,6,45,2
國立臺灣科技大學,22342,457,95,0,51,138,66,0,0,4,46,6,45,6
國立臺灣藝術大學,11090,241,22,0,34,62,100,0,0,1,5,1,12,4
國立臺灣體育運動大學,6244,307,48,0,79,50,107,0,0,0,16,7,0,0
國立虎尾科技大學,22076,539,132,0,143,74,110,0,0,2,22,1,0,55
國立金門大學,8262,346,18,0,151,74,82,0,2,0,11,4,4,0
國立陽明交通大學,39432,859,82,0,170,445,73,1,4,4,35,2,38,5
國立雲林科技大學,19616,450,75,1,68,178,48,1,0,1,24,8,41,5
國立體育大學,5172,144,2,0,30,6,84,0,0,0,22,0,0,0
國立高雄大學,11482,365,41,0,117,45,130,0,0,6,18,4,1,3
國立高雄師範大學,13690,429,33,0,116,142,38,0,2,2,47,8,41,0
國立高雄科技大學,54876,1392,154,9,256,282,552,1,0,3,75,29,30,1
國立高雄餐旅大學,9858,140,9,2,45,10,57,0,1,1,6,0,7,2
城市學校財團法人臺北城市科技大學,19716,1216,65,3,196,103,527,0,0,3,50,9,236,24
大仁科技大學,10778,647,18,5,96,237,220,0,0,4,27,11,29,0
大同大學,8024,335,129,1,68,18,83,0,0,1,4,1,30,0
大同技術學院,2274,271,35,0,31,52,125,0,0,1,10,4,1,12
大漢技術學院,1998,227,3,0,23,108,66,0,2,0,15,3,7,0
大華學校財團法人敏實科技大學,1542,165,15,2,68,16,43,1,0,1,17,2,0,0
大葉大學,15540,786,12,0,307,143,263,0,0,6,21,12,21,1
